Title,Date
"La calle del terror (Parte 1): 1994","19/09/21"
"Sex Education: Temporada 3: Episodio 8","19/09/21"
"Sex Education: Temporada 3: Episodio 7","19/09/21"
"Sex Education: Temporada 3: Episodio 6","19/09/21"
"Sex Education: Temporada 3: Episodio 5","18/09/21"
"Sex Education: Temporada 3: Episodio 4","18/09/21"
"Sex Education: Temporada 3: Episodio 3","18/09/21"
"Sex Education: Temporada 3: Episodio 2","17/09/21"
"Sex Education: Temporada 3: Episodio 1","17/09/21"
"Sex Education: Temporada 2: Episodio 8","07/09/21"
"Sex Education: Temporada 2: Episodio 7","07/09/21"
"Sex Education: Temporada 2: Episodio 6","06/09/21"
"Sex Education: Temporada 2: Episodio 5","04/09/21"
"Sex Education: Temporada 2: Episodio 4","04/09/21"
"Sex Education: Temporada 2: Episodio 3","04/09/21"
"El hombre araña","03/09/21"
"El sorprendente Hombre-Araña 2: La amenaza de Electro","03/09/21"
"Sex Education: Temporada 2: Episodio 2","31/08/21"
"Sex Education: Temporada 2: Episodio 1","31/08/21"
"Sex Education: Temporada 1: Episodio 8","31/08/21"
"Sex Education: Temporada 1: Episodio 7","28/08/21"
"Sex Education: Temporada 1: Episodio 6","27/08/21"
"Sex Education: Temporada 1: Episodio 5","26/08/21"
"Sex Education: Temporada 1: Episodio 4","23/08/21"
"Sex Education: Temporada 1: Episodio 3","22/08/21"
"Sex Education: Temporada 1: Episodio 2","22/08/21"
"Sex Education: Temporada 1: Episodio 1","22/08/21"
"Élite: Temporada 4: Cuando bailan las mentiras con las tentaciones","20/08/21"
"Élite: Temporada 4: 5 segundos","20/08/21"
"Atypical: Temporada 4: Postre en Olive Garden","19/08/21"
"Atypical: Temporada 4: La bola del jugador","19/08/21"
"Atypical: Temporada 4: Ave mágica n.º 2","19/08/21"
"Atypical: Temporada 4: Concéntrate en el gato","19/08/21"
"Atypical: Temporada 4: ¿Tienes buena salud?","19/08/21"
"Atypical: Temporada 4: Sueños muertos","17/08/21"
"Atypical: Temporada 4: Comienzos y finales","17/08/21"
"La llamada","17/08/21"
"One Day at a Time: Temporada 3: Fantasmas","16/08/21"
"One Day at a Time: Temporada 3: Beber y conducir","16/08/21"
"One Day at a Time: Temporada 3: Penny de menos, Nicole de más","16/08/21"
"One Day at a Time: Temporada 3: Amo y señor","16/08/21"
"One Day at a Time: Temporada 3: La ansiedad al ataque","15/08/21"
"One Day at a Time: Temporada 3: Manejo de la ira","15/08/21"
"One Day at a Time: Temporada 3: La primera vez","15/08/21"
"One Day at a Time: Temporada 3: Un Día de San Valentín a la vez","15/08/21"
"One Day at a Time: Temporada 3: Corte de raíz","15/08/21"
"One Day at a Time: Temporada 3: Hermanos","15/08/21"
"El stand de los besos 3","15/08/21"
"One Day at a Time: Temporada 3: Beneficios con amigos","14/08/21"
"One Day at a Time: Temporada 3: Afuera","14/08/21"
"One Day at a Time: Temporada 3: El funeral","14/08/21"
"One Day at a Time: Temporada 2: Todavía no","14/08/21"
"One Day at a Time: Temporada 2: Ciudadana Lydia","14/08/21"
"One Day at a Time: Temporada 2: El baile de la escuela","14/08/21"
"One Day at a Time: Temporada 2: Guerras de almacenamiento","14/08/21"
"One Day at a Time: Temporada 2: Hola, Penélope","14/08/21"
"One Day at a Time: Temporada 2: Lo que pasó","14/08/21"
"One Day at a Time: Temporada 2: Exclusivos","14/08/21"
"One Day at a Time: Temporada 2: Trabajar duro, jugar duro","13/08/21"
"One Day at a Time: Temporada 2: Bajo llave","13/08/21"
"One Day at a Time: Temporada 2: Raíces","13/08/21"
"One Day at a Time: Temporada 2: A Zir, con amor","13/08/21"
"One Day at a Time: Temporada 2: Escolarización","13/08/21"
"One Day at a Time: Temporada 2: El cambio","13/08/21"
"One Day at a Time: Temporada 1: Quinceañera","13/08/21"
"One Day at a Time: Temporada 1: Huracán Víctor","13/08/21"
"One Day at a Time: Temporada 1: Orgullo y prejuicio","13/08/21"
"One Day at a Time: Temporada 1: Charla de sexo","13/08/21"
"One Day at a Time: Temporada 1: Viva Cuba","13/08/21"
"One Day at a Time: Temporada 1: Una mentira a la vez","13/08/21"
"One Day at a Time: Temporada 1: Espera, por favor","13/08/21"
"One Day at a Time: Temporada 1: Muerte de la señora Resnick","12/08/21"
"One Day at a Time: Temporada 1: Callejeros","12/08/21"
"One Day at a Time: Temporada 1: Muñeco de nieve","12/08/21"
"One Day at a Time: Temporada 1: Misa","12/08/21"
"One Day at a Time: Temporada 1: Bobos y mamitas","12/08/21"
"One Day at a Time: Temporada 1: No hay más","12/08/21"
"Élite historias breves: Omar Ander Alexis: Temporada 1: Parte 3","11/08/21"
"Élite historias breves: Omar Ander Alexis: Temporada 1: Parte 2","11/08/21"
"Élite historias breves: Omar Ander Alexis: Temporada 1: Parte 1","11/08/21"
"Élite: Temporada 4: Antes de irme (2ª parte)","11/08/21"
"Élite: Temporada 4: Antes de irme (1ª parte)","11/08/21"
"Élite: Temporada 4: Te quiero mal","11/08/21"
"Élite: Temporada 4: La reinserción","11/08/21"
"Élite: Temporada 4: Soy una...","11/08/21"
"Élite: Temporada 4: El nuevo orden","11/08/21"
"Élite: Temporada 3: Polo","10/08/21"
"Élite: Temporada 3: Nadia y Omar","10/08/21"
"Élite: Temporada 3: Rebeka","10/08/21"
"Élite: Temporada 3: Ander","10/08/21"
"Élite: Temporada 3: Lu","06/08/21"
"Élite: Temporada 3: Cayetana y Valerio","06/08/21"
"Élite: Temporada 3: Samuel y Guzmán","06/08/21"
"Control Z: Temporada 2: La última venganza","06/08/21"
"Control Z: Temporada 2: Control Z","05/08/21"
"Control Z: Temporada 2: Un minuto de silencio","05/08/21"
"Control Z: Temporada 2: Nuevos placeres","05/08/21"
"Control Z: Temporada 2: Nada que esconder","05/08/21"
"Control Z: Temporada 2: Necesidades","05/08/21"
"Control Z: Temporada 2: El Regreso","05/08/21"
"Control Z: Temporada 2: No se puede enterrar el pasado","05/08/21"
"Control Z: Season 1: La chica del cumpleaños","05/08/21"
"Atypical: Temporada 4: Quieres una revolución","04/08/21"
"Atypical: Temporada 4: Experto en pingüinos","04/08/21"
"Atypical: Temporada 4: Ave mágica n.º 1","04/08/21"
"Atypical: Temporada 1: Antártida","04/08/21"
"Jóvenes altezas: Temporada 1: Episodio 6","04/08/21"
"Jóvenes altezas: Temporada 1: Episodio 5","04/08/21"
"Jóvenes altezas: Temporada 1: Episodio 4","04/08/21"
"Jóvenes altezas: Temporada 1: Episodio 3","04/08/21"
"Jóvenes altezas: Temporada 1: Episodio 2","03/08/21"
"Jóvenes altezas: Temporada 1: Episodio 1","02/08/21"
"Élite: Temporada 3: Carla","27/07/21"
"Élite: Temporada 2: 0 horas desaparecido","27/07/21"
"Élite: Temporada 2: 84 horas desaparecido","27/07/21"
"Baby: El aprendiz del crimen","22/07/21"
"Action Point","21/07/21"
"Yo nunca: Temporada 2: ... fui una chica perfecta","20/07/21"
"Yo nunca: Temporada 2: ... espié a mi propia madre","20/07/21"
"Yo nunca: Temporada 2: ... fui Daisy Buchanan","20/07/21"
"Yo nunca: Temporada 2: ... imploré perdón","19/07/21"
"Yo nunca: Temporada 2: ... traicioné una amistad","18/07/21"
"Yo nunca: Temporada 2: ... arruiné la vida de alguien","18/07/21"
"Yo nunca: Temporada 2: ... tuve una amienemiga india","18/07/21"
"Yo nunca: Temporada 2: ... abrí un libro","18/07/21"
"Yo nunca: Temporada 2: ... hice una fiesta","18/07/21"
"Yo nunca: Temporada 2: ... jugué a dos puntas","18/07/21"
"Élite: Temporada 2: 66 horas desaparecido","11/07/21"
"Cómo entrenar a tu dragón 3","09/07/21"
"Élite: Temporada 2: 63 horas desaparecido","08/07/21"
"Élite: Temporada 2: 59 horas desaparecido","07/07/21"
"Élite: Temporada 2: 36 horas desaparecido","06/07/21"
"Élite: Temporada 2: 34 horas desaparecido","06/07/21"
"Élite: Temporada 2: 20 horas desaparecido","06/07/21"
"Élite: Temporada 1: Assilah","05/07/21"
"Élite: Temporada 1: Todo estalla","05/07/21"
"Élite: Temporada 1: Todo va a salir bien","04/07/21"
"Élite: Temporada 1: Todos mienten","04/07/21"
"Élite: Temporada 1: El amor es una droga","03/07/21"
"Kung Fu Panda 3","02/07/21"
"Élite: Temporada 1: Sábado noche","02/07/21"
"Élite: Temporada 1: Deseo","02/07/21"
"Élite: Temporada 1: Bienvenidos","01/07/21"
"Atypical: Temporada 3: Dulce búsqueda","29/06/21"
"Atypical: Temporada 3: Sam sale a pasear","28/06/21"
"Cuestión de tiempo","28/06/21"
"Atrápame si puedes","27/06/21"
"Atypical: Temporada 3: Paige, furia al volante","26/06/21"
"Atypical: Temporada 3: Pérdidas","25/06/21"
"Atypical: Temporada 3: La esencia de un pingüino","25/06/21"
"Atypical: Temporada 3: Solo tweed","25/06/21"
"Atypical: Temporada 3: Tienes un fantasma","25/06/21"
"Atypical: Temporada 3: Cocaína y carne de poni","25/06/21"
"Atypical: Temporada 3: Sam el Serio","25/06/21"
"Atypical: Temporada 3: Los mejores planes","24/06/21"
"Atypical: Temporada 2: Las reglas de Ernest Shackleton","24/06/21"
"Atypical: Temporada 2: Ritualicioso","24/06/21"
"Atypical: Temporada 2: Vivir en altura","24/06/21"
"Atypical: Temporada 2: Borrón y cuenta nueva","23/06/21"
"Atypical: Temporada 2: La guarida del dragón","23/06/21"
"Atypical: Temporada 2: El huevo","23/06/21"
"Atypical: Temporada 2: Prendido fuego","19/06/21"
"Atypical: Temporada 2: El amiguito y el león","19/06/21"
"Atypical: Temporada 2: La cámara del pingüino bebé","18/06/21"
"Atypical: Temporada 2: Empapada","18/06/21"
"Anatomía según Grey: Temporada 7: Boda blanca","06/06/21"
"Anatomía según Grey: Temporada 7: El largo camino de regreso","06/06/21"
"Anatomía según Grey: Temporada 7: La canción debajo de la canción","06/06/21"
"Milagro azul","03/06/21"
"Más notas perfectas","24/05/21"
"Your Name","15/05/21"
"Rick y Morty: Temporada 1: La poción de Rick","01/04/21"
"Rick y Morty: Temporada 1: Meeseeks destructores","01/04/21"
"Rick y Morty: Temporada 1: La simulación alienígena","24/03/21"
"Rick y Morty: Temporada 1: Parque anatómico","23/03/21"
"Atypical: Temporada 1: Las propiedades de silenciamiento de la nieve","20/03/21"
"Atypical: Temporada 1: Perdí mi pobre albóndiga","20/03/21"
"Atypical: Temporada 1: El tren a Pueblo Polvo","18/03/21"
"Atypical: Temporada 1: Esa es mi sudadera","18/03/21"
"Atypical: Temporada 1: Un aroma neutro","18/03/21"
"Atypical: Temporada 1: Julia dijo","18/03/21"
"Atypical: Temporada 1: Una hembra humana","18/03/21"
"13 Reasons Why: Temporada 1: Casete dos, lado A","20/02/21"
"13 Reasons Why: Temporada 1: Casete uno, lado B","20/02/21"
"A todos los chicos: Para siempre","12/02/21"
"Full Out 2: ¡Tú puedes!","21/01/21"
"La leyenda de Korra: Libro tres: Cambio: En peligro","30/12/20"
"La leyenda de Korra: Libro cuatro: Equilibrio: El último en pie","30/12/20"
"Equinox: Temporada 1: ¿Qué ves cuando duermes?","30/12/20"
"Equinox: Temporada 1: La niña se fue","30/12/20"
"Equinox: Temporada 1: Va a pasar de nuevo","30/12/20"
"Anatomía según Grey: Temporada 4: Amor / adicción","14/12/20"
"Ashley García: La genio enamorada: Navidad: El verdadero significado de la Navidad juntos","14/12/20"
"Ashley García: La genio enamorada: Parte 2: Otra vuelta al Sol","14/12/20"
"Anatomía según Grey: Temporada 4: Un cambio está por llegar","13/12/20"
"Anatomía según Grey: Temporada 3: Casi lo teníamos todo","13/12/20"
"Anatomía según Grey: Temporada 3: Probando uno, dos, tres","13/12/20"
"Anatomía según Grey: Temporada 3: El otro lado de esta vida: Parte 2","12/12/20"
"Anatomía según Grey: Temporada 3: El otro lado de esta vida: Parte 1","12/12/20"
"Anatomía según Grey: Temporada 3: Deseo","12/12/20"
"Anatomía según Grey: Temporada 3: Una y otra vez","12/12/20"
"Anatomía según Grey: Temporada 3: Mi error favorito","11/12/20"
"Anatomía según Grey: Temporada 3: Cicatrices y recuerdos","10/12/20"
"Anatomía según Grey: Temporada 3: Una especie de milagro","10/12/20"
"Anatomía según Grey: Temporada 3: Ahogándose en tierra seca","10/12/20"
"Anatomía según Grey: Temporada 3: Camina sobre el agua","10/12/20"
"Anatomía según Grey: Temporada 3: Deseos y esperanzas","10/12/20"
"Anatomía según Grey: Temporada 3: Grandes expectativas","09/12/20"
"Anatomía según Grey: Temporada 3: Seis días: Parte 2","09/12/20"
"Anatomía según Grey: Temporada 3: Seis días: Parte 1","09/12/20"
"Anatomía según Grey: Temporada 3: No tan cerca de mí","09/12/20"
"Anatomía según Grey: Temporada 3: De un susurro a un grito","08/12/20"
"Anatomía según Grey: Temporada 3: Mirando al sol","08/12/20"
"Anatomía según Grey: Temporada 3: Donde están los muchachos","07/12/20"
"Anatomía según Grey: Temporada 3: Un compromiso de vida","07/12/20"
"Anatomía según Grey: Temporada 3: Oh, la culpa","07/12/20"
"Anatomía según Grey: Temporada 3: Lo que soy","07/12/20"
"Anatomía según Grey: Temporada 3: A veces una fantasía","06/12/20"
"Anatomía según Grey: Temporada 3: Soy un árbol","06/12/20"
"Anatomía según Grey: Temporada 3: Llegó el momento","06/12/20"
"Anatomía según Grey: Temporada 2: Perdiendo mi religión","06/12/20"
"Anatomía según Grey: Temporada 2: Pelear o huir","06/12/20"
"Anatomía según Grey: Temporada 2: 19 segundos","06/12/20"
"Anatomía según Grey: Temporada 2: El daño","05/12/20"
"Anatomía según Grey: Temporada 2: Blues por la hermana","05/12/20"
"Anatomía según Grey: Temporada 2: El nombre del juego","04/12/20"
"Anatomía según Grey: Temporada 2: Superstición","04/12/20"
"Anatomía según Grey: Temporada 2: Una bandita cubre el orificio de bala","04/12/20"
"Anatomía según Grey: Temporada 2: ¿Qué hice para merecer esto?","04/12/20"
"Anatomía según Grey: Temporada 2: Ayer","04/12/20"
"Anatomía según Grey: Temporada 2: Lo que sabemos","04/12/20"
"Anatomía según Grey: Temporada 2: Es el fin del mundo","04/12/20"
"Anatomía según Grey: Temporada 2: Cruzando la línea","02/12/20"
"Creed: Corazón de campeón","02/12/20"
"Anatomía según Grey: Temporada 2: Cuéntame mentiritas","02/12/20"
"Anatomía según Grey: Temporada 2: Volver a empezar","01/12/20"
"Anatomía según Grey: Temporada 2: La abuela fue atropellada por un reno","01/12/20"
"Anatomía según Grey: Temporada 2: Dueño de un corazón solitario","01/12/20"
"Anatomía según Grey: Temporada 2: Demasiado","01/12/20"
"Friends: Temporada 2: El de la viruela","01/12/20"
"Anatomía según Grey: Temporada 2: Gracias por los recuerdos","30/11/20"
"Anatomía según Grey: Temporada 2: Déjalo ser","29/11/20"
"Anatomía según Grey: Temporada 2: Algo de qué hablar","29/11/20"
"Anatomía según Grey: Temporada 2: Hacia ti como un tren","27/11/20"
"Anatomía según Grey: Temporada 2: Abran paso al dolor","27/11/20"
"Anatomía según Grey: Temporada 2: Niégalo, niégalo, niégalo","25/11/20"
"Anatomía según Grey: Temporada 2: Hazme perder el control","25/11/20"
"Anatomía según Grey: Temporada 2: Ya basta","25/11/20"
"Anatomía según Grey: Temporada 1: La noche de un día difícil","25/11/20"
"Friends: Temporada 2: Las dos fiestas","25/11/20"
"Friends: Temporada 2: Los bravucones","25/11/20"
"Si algo me pasa, los quiero","25/11/20"
"Friends: Temporada 2: Cuando muere el gruñón","24/11/20"
"Friends: Temporada 2: Cuando Eddie no quiere irse","24/11/20"
"Friends: Temporada 2: Cuando muere el Dr. Ramoray","24/11/20"
"Friends: Temporada 2: Cuando llega Eddie","24/11/20"
"Friends: Temporada 2: Joey se muda","24/11/20"
"Friends: Temporada 2: El reencuentro de Ross y Rachel","24/11/20"
"Friends: Temporada 2: El video del baile","24/11/20"
"Friends: Temporada 2: Después del Superbowl (Parte 2)","24/11/20"
"Friends: Temporada 2: Después del Superbowl (Parte 1)","24/11/20"
"Friends: Temporada 2: Boda de lesbianas","24/11/20"
"Friends: Temporada 2: Ross y Russ","24/11/20"
"Friends: Temporada 2: El papá de Phoebe","24/11/20"
"Friends: Temporada 2: La lista","23/11/20"
"Friends: Temporada 2: Ross se entera de la verdad","23/11/20"
"Friends: Temporada 2: El bebé en autobús","23/11/20"
"Friends: Temporada 2: Carne para cinco y una berenjena","22/11/20"
"Friends: Temporada 2: Llegó el esposo de Phoebe","22/11/20"
"Friends: Temporada 2: El Sr. Heckles pasó a mejor vida","22/11/20"
"Friends: Temporada 2: La leche materna","22/11/20"
"Friends: Temporada 2: La nueva novia de Ross","22/11/20"
"Friends: Temporada 1: Rachel por fin se da cuenta","22/11/20"
"Dash y Lily: Temporada 1: Dash","22/11/20"
"Anatomía según Grey: Temporada 2: Gotas de lluvia sobre mi cabeza","21/11/20"
"Anatomía según Grey: Temporada 1: ¿Quién encubre a quién?","21/11/20"
"Anatomía según Grey: Temporada 1: Sálvame","21/11/20"
"Anatomía según Grey: Temporada 1: El botón de autodestrucción","21/11/20"
"Anatomía según Grey: Temporada 1: Si no llega el mañana","19/11/20"
"Intercambio de princesas 2","19/11/20"
"Anatomía según Grey: Temporada 1: La fiesta","15/11/20"
"Anatomía según Grey: Temporada 1: Tierra de nadie","15/11/20"
"Rocky II, la revancha","14/11/20"
"Anatomía según Grey: Temporada 1: Ganar una batalla, perder una guerra","13/11/20"
"Anatomía según Grey: Temporada 1: El primer corte es el más profundo","13/11/20"
"Friends: Temporada 1: El del nacimiento","07/11/20"
"Friends: Temporada 1: El extraño factor","07/11/20"
"Friends: Temporada 1: La falsa Mónica","07/11/20"
"Friends: Temporada 1: El cruel ortodoncista","07/11/20"
"Friends: Temporada 1: El día que Marcel se fue","07/11/20"
"Friends: Temporada 1: Jugando póquer","07/11/20"
"Friends: Temporada 1: Segunda de dos partes","06/11/20"
"Friends: Temporada 1: Primera de dos partes","06/11/20"
"Friends: Temporada 1: El intoxicado","06/11/20"
"Friends: Temporada 1: Corazones de dulce","05/11/20"
"Friends: Temporada 1: Hablemos de senos","03/11/20"
"Friends: Temporada 1: Las doce lasagnas","03/11/20"
"Friends: Temporada 1: Uno con la Sra. Bing","03/11/20"
"Friends: Temporada 1: Uno con el mono","03/11/20"
"Friends: Temporada 1: Día de Acción de Gracias","03/11/20"
"Friends: Temporada 1: Donde nani muere dos veces","02/11/20"
"Friends: Temporada 1: El apagón","02/11/20"
"Friends: Temporada 1: El hombre del trasero","02/11/20"
"Friends: Temporada 1: Uno con el detergente de lavandería de Alemania del Este","02/11/20"
"Friends: Temporada 1: Uno con George Stephanopoulos","02/11/20"
"Friends: Temporada 1: Uno con el pulgar","02/11/20"
"Friends: Temporada 1: Donde el ultrasonido llega al final","02/11/20"
"Friends: Temporada 1: Estreno","01/11/20"
"Contratiempo","31/10/20"
"Spider-Man: De regreso a casa","31/10/20"
"Yo nunca: Temporada 1: ... pedí perdón","31/10/20"
"Yo nunca: Temporada 1: ... tuve que impresionar a alguien","31/10/20"
"Yo nunca: Temporada 1: ... molesté a todos los que conozco","30/10/20"
"Yo nunca: Temporada 1: ... he sido una mentirosa de lo peor","30/10/20"
"Yo nunca: Temporada 1: ... fui el chico más solitario del mundo","30/10/20"
"Yo nunca: Temporada 1: ... comencé una guerra nuclear","30/10/20"
"17 otra vez","25/10/20"
"Yo nunca: Temporada 1: ... me sentí muy india","25/10/20"
"Yo nunca: Temporada 1: ... me emborraché con los populares","25/10/20"
"Yo nunca: Temporada 1: ... me acosté con Paxton Hall-Yoshida","24/10/20"
"Yo nunca: Temporada 1: Piloto","23/10/20"
"Mi villano favorito","23/10/20"
"Vaselina","23/10/20"
"Baby: Temporada 1: Superpoderes","23/10/20"
"Riverdale: Temporada 4: Capítulo 76: Matando al señor Honey","23/10/20"
"Riverdale: Temporada 4: Capítulo 75: Lyncheano","23/10/20"
"Riverdale: Temporada 4: Capítulo 74: Pequeño pueblo cruel","23/10/20"
"Riverdale: Temporada 4: Capítulo 73: La habitación cerrada","22/10/20"
"Riverdale: Temporada 4: Capítulo 72: Para morirse","22/10/20"
"Riverdale: Temporada 4: Capítulo 71: El homicidio perfecto","22/10/20"
"Riverdale: Temporada 4: Capítulo 70: Poder y traición","21/10/20"
"Riverdale: Temporada 4: Capítulo 69: Hombres de honor","21/10/20"
"Riverdale: Temporada 4: Capítulo 68: Programa de concursos","21/10/20"
"Riverdale: Temporada 4: Capítulo 67: La semana del espíritu","21/10/20"
"Riverdale: Temporada 4: Capítulo 66: Tangerina","21/10/20"
"Riverdale: Temporada 4: Capítulo 65: En terapia","20/10/20"
"Riverdale: Temporada 4: Capítulo 64: Tormenta de nieve","20/10/20"
"Riverdale: Temporada 4: Capítulo 63: Hereditario","19/10/20"
"El dilema de las redes sociales","18/10/20"
"Riverdale: Temporada 4: Capítulo 62: Testigo de cargo","18/10/20"
"Riverdale: Temporada 4: Capítulo 61: Halloween","18/10/20"
"Riverdale: Temporada 4: Capítulo 60: Tarde de perros","18/10/20"
"Glee: Temporada 5: Nuevo Nueva York","18/10/20"
"Glee: Temporada 5: Nuevas direcciones","17/10/20"
"Glee: Temporada 5: 100","17/10/20"
"Glee: Temporada 5: Ciudad de Ángeles","17/10/20"
"Glee: Temporada 5: Trío","15/10/20"
"Riverdale: Temporada 4: Capítulo 58: In memoriam","14/10/20"
"Glee: Temporada 5: Eneamigos","14/10/20"
"Glee: Temporada 5: Otro episodio navideño","14/10/20"
"Glee: Temporada 5: Títeres","14/10/20"
"Glee: Temporada 5: Explorar","14/10/20"
"Glee: Temporada 5: Perreo","13/10/20"
"Glee: Temporada 5: Katy o Gaga","12/10/20"
"Glee: Temporada 5: El mariscal de campo","12/10/20"
"Glee: Temporada 5: Tina en el cielo con diamantes","12/10/20"
"Glee: Temporada 5: Amor, amor, amor","11/10/20"
"Glee: Temporada 4: Todo o nada","11/10/20"
"Glee: Temporada 4: Maravilloso","11/10/20"
"Glee: Temporada 4: Apagón","11/10/20"
"Glee: Temporada 4: Dulces sueños","11/10/20"
"Glee: Temporada 4: Estrella fugaz","11/10/20"
"Glee: Temporada 4: Pasiones secretas","10/10/20"
"Glee: Temporada 4: Disputa","09/10/20"
"Riverdale: Temporada 4: Capítulo 59: El tiempo vuela en Riverdale High","09/10/20"
"Riverdale: Temporada 3: Capítulo 47: Bizarrodale","09/10/20"
"Glee: Temporada 4: Glee en el cine","08/10/20"
"Glee: Temporada 4: Acepto","08/10/20"
"Glee: Temporada 4: Diva","08/10/20"
"Glee: Temporada 4: Desnudos","08/10/20"
"Glee: Temporada 4: Sadie Hawkins","08/10/20"
"Glee: Temporada 4: Realmente Glee","07/10/20"
"Glee: Temporada 4: La última canción","07/10/20"
"Glee: Temporada 4: Día de Acción de Gracias","07/10/20"
"Glee: Temporada 4: Duetos dinámicos","07/10/20"
"Glee: Temporada 4: Vaselina","05/10/20"
"Glee: Temporada 4: El papel que nos tocó desempeñar","05/10/20"
"Glee: Temporada 4: El rompimiento","05/10/20"
"Glee: Temporada 4: Cambio de imagen","05/10/20"
"Glee: Temporada 4: Britney 2.0","05/10/20"
"Glee: Temporada 4: La nueva Rachel","04/10/20"
"Glee: Temporada 3: Adiós","04/10/20"
"Glee: Temporada 3: Nacionales","04/10/20"
"Glee: Temporada 3: Utilería","04/10/20"
"Glee: Temporada 3: Bailesaurio","04/10/20"
"Glee: Temporada 3: Parálisis","04/10/20"
"Glee: Temporada 3: Bailando","04/10/20"
"Glee: Temporada 3: Fiebre de sábado por Glee","04/10/20"
"Glee: Temporada 3: Hermano mayor","03/10/20"
"Glee: Temporada 3: En camino","03/10/20"
"Glee: Temporada 3: Corazón","03/10/20"
"Lady Bird","03/10/20"
"Notas perfectas","03/10/20"
"Glee: Temporada 3: El nuevo maestro","03/10/20"
"Glee: Temporada 3: Michael","03/10/20"
"Glee: Temporada 3: Sí/No","03/10/20"
"Glee: Temporada 3: Extraordinaria y feliz Navidad","02/10/20"
"Glee: Temporada 3: Aférrate a los dieciséis","02/10/20"
"Glee: Temporada 3: Besé a una chica","01/10/20"
"Glee: Temporada 3: Popurrí","01/10/20"
"Glee: Temporada 3: La primera vez","01/10/20"
"Glee: Temporada 3: Olla de oro","30/09/20"
"Glee: Temporada 3: Cero oriental","30/09/20"
"Glee: Temporada 3: Soy unicornio","30/09/20"
"Glee: Temporada 3: El proyecto Piano morado","30/09/20"
"Modern Family: Temporada 1: En la banca","29/09/20"
"Glee: Temporada 2: Nueva York","29/09/20"
"Glee: Temporada 2: Funeral","29/09/20"
"Glee: Temporada 2: Reina del baile","29/09/20"
"Glee: Temporada 2: Rumores","28/09/20"
"Glee: Temporada 2: Así nací","28/09/20"
"Glee: Temporada 2: Noche de ignorados","27/09/20"
"Glee: Temporada 2: Canción original","27/09/20"
"Glee: Temporada 2: Sexy","26/09/20"
"Glee: Temporada 2: Échale la culpa al alcohol","26/09/20"
"Glee: Temporada 2: El regreso","26/09/20"
"Glee: Temporada 2: Tontas canciones de amor","26/09/20"
"Modern Family: Temporada 1: Cambio de juego","25/09/20"
"Modern Family: Temporada 1: Noche estrellada","25/09/20"
"Modern Family: Temporada 1: La verdad sea dicha","25/09/20"
"Glee: Temporada 2: El baile de Sue Sylvester","25/09/20"
"Glee: Temporada 2: Una Navidad muy Glee","25/09/20"
"Glee: Temporada 2: Educación especial","25/09/20"
"Glee: Temporada 2: Furt","24/09/20"
"Glee: Temporada 2: La sustituta","24/09/20"
"Glee: Temporada 2: Bésame","24/09/20"
"Glee: Temporada 2: El show de terror de Rocky","24/09/20"
"Modern Family: Temporada 1: Miedos","22/09/20"
"Modern Family: Temporada 1: Día de San Valentín a la moda","21/09/20"
"Modern Family: Temporada 1: Luz de luna","21/09/20"
